Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Ques Type,Question Level
Who is the head of government of Germany?,Prime Minister – Salome Zurabishvili,Prime Minister – Julien Nkoghe Bekale,Prime Minister – Édouard Philippe,Chancellor – Frank- Walter Steinmeier,Chancellor – Frank- Walter Steinmeier,dynamic,EASY
What is the population of Germany?,3990681,2402083,83730223,280580,83730223,dynamic,EASY
What is the capital of India?,Reykjavik,Budapest,New Delhi,Port-au-Prince,New Delhi,static,EASY
What is the currency of India?,Icelandic króna,Forint,Indian Rupee,Gourde,Indian Rupee,static,EASY
What is the official language of India?,Icelandic,Hungarian,Spanish,Hindi; English,Hindi; English,static,EASY
Who is the head of government of India?,Prime Minister – Katrín Jakobsdóttir,Prime Minister – Narendra Modi,President – Juan Orlando Hernández,Prime Minister – Jean- Michel Lapin,Prime Minister – Narendra Modi,dynamic,EASY
What is the population of India?,340795,1377233523,7484618,9871892,1377233523,dynamic,EASY
What is the capital of Indonesia?,New Delhi,Jakarta,Budapest,Tegucigalpa,Jakarta,static,EASY
What is the currency of Indonesia?,Indian Rupee,Icelandic króna,Forint,Rupiah,Rupiah,static,EASY
What is the official language of Indonesia?,Hindi; English,Icelandic,Hungarian,Indonesian,Indonesian,static,EASY
Who is the head of government of Indonesia?,Prime Minister – Narendra Modi,President – Joko Widodo,Prime Minister – Viktor Orbán,President – Juan Orlando Hernández,President – Joko Widodo,dynamic,EASY
What is the population of Indonesia?,1377233523,272931713,9665192,7484618,272931713,dynamic,EASY
What is the capital of Iran?,Jakarta,New Delhi,Reykjavik,Tehran,Tehran,static,EASY
What is the currency of Iran?,Rupiah,Rial,Icelandic króna,Forint,Rial,static,EASY
What is the official language of Iran?,Indonesian,Hindi; English,Icelandic,Persian,Persian,static,EASY
Who is the head of government of Iran?,President – Joko Widodo,President – Hassan Rouhani,Prime Minister – Katrín Jakobsdóttir,Prime Minister – Viktor Orbán,President – Hassan Rouhani,dynamic,EASY
What is the population of Iran?,272931713,1377233523,83771587,9665192,83771587,dynamic,EASY
What is the capital of Iraq?,Baghdad,Jakarta,New Delhi,Reykjavik,Baghdad,static,EASY
What is the currency of Iraq?,Iraqi Dinar,Rupiah,Indian Rupee,Icelandic króna,Iraqi Dinar,static,EASY
What is the official language of Iraq?,Arabic; Kurdish,Indonesian,Hindi; English,Icelandic,Arabic; Kurdish,static,EASY
Who is the head of government of Iraq?,President – Hassan Rouhani,President – Joko Widodo,Prime Minister – Adil Abdul-Mahdi,Prime Minister – Katrín Jakobsdóttir,Prime Minister – Adil Abdul-Mahdi,dynamic,EASY
What is the population of Iraq?,83771587,272931713,40031626,340795,40031626,dynamic,EASY
What is the capital of Ireland?,Baghdad,Tehran,Dublin,New Delhi,Dublin,static,EASY
What is the currency of Ireland?,Iraqi Dinar,Euro (formerly Irish pound [punt]),Rupiah,Indian Rupee,Euro (formerly Irish pound [punt]),static,EASY
What is the official language of Ireland?,Arabic; Kurdish,Persian,English; Irish,Hindi; English,English; Irish,static,EASY
Who is the head of government of Ireland?,Prime Minister – Adil Abdul-Mahdi,President – Hassan Rouhani,President – Joko Widodo,"Prime Minister-Taoiseach
– Leo Varadkar","Prime Minister-Taoiseach
– Leo Varadkar",dynamic,EASY
What is the population of Ireland?,40031626,83771587,272931713,4926480,4926480,dynamic,EASY
What is the capital of Israel?,Dublin,Baghdad,Tehran,Jerusalem*,Jerusalem*,static,EASY
What is the currency of Israel?,Euro (formerly Irish pound [punt]),Shekel,Rial,Rupiah,Shekel,static,EASY
What is the official language of Israel?,English; Irish,Arabic; Kurdish,Persian,Hebrew; Arabic,Hebrew; Arabic,static,EASY
Who is the head of government of Israel?,"Prime Minister-Taoiseach
– Leo Varadkar",Prime Minister – Benjamin Netanyahu,President – Hassan Rouhani,President – Joko Widodo,Prime Minister – Benjamin Netanyahu,dynamic,EASY
What is the population of Israel?,84942,4926480,40031626,8627444,8627444,dynamic,EASY
What is the capital of Italy?,Jerusalem*,Dublin,Rome,Tehran,Rome,static,EASY
What is the currency of Italy?,Shekel,Euro (formerly Irish pound [punt]),Euro (formerly lira),Rial,Euro (formerly lira),static,EASY
What is the official language of Italy?,Hebrew; Arabic,Italian,Arabic; Kurdish,Persian,Italian,static,EASY
Who is the head of government of Italy?,Prime Minister – Giuseppe Conte,"Prime Minister-Taoiseach
– Leo Varadkar",Prime Minister – Adil Abdul-Mahdi,President – Hassan Rouhani,Prime Minister – Giuseppe Conte,dynamic,EASY
What is the population of Italy?,60479424,84942,4926480,40031626,60479424,dynamic,EASY
What is the capital of Japan?,Tokyo,Rome,Jerusalem*,Dublin,Tokyo,static,EASY
What is the currency of Japan?,Yen,Euro (formerly lira),Shekel,Euro (formerly Irish pound [punt]),Yen,static,EASY
What is the official language of Japan?,English,Italian,Hebrew; Arabic,Japanese,Japanese,static,EASY
Who is the head of government of Japan?,Prime Minister – Andrew Holness,Prime Minister – Shinz? Abe,Prime Minister – Benjamin Netanyahu,"Prime Minister-Taoiseach
– Leo Varadkar",Prime Minister – Shinz? Abe,dynamic,EASY
What is the population of Japan?,2958567,60479424,8627444,126552765,126552765,dynamic,EASY
"What is the capital of Korea, South?",Pyongyang,Tarawa Atoll,Nairobi,Seoul,Seoul,static,EASY
"What is the currency of Korea, South?",Won,Kiribati dollar,Kenya shilling,Won,Won,static,EASY
"What is the official language of Korea, South?",Korean,English; Gilbertese,Korean,Kazakh; Russian,Korean,static,EASY
"Who is the head of government of Korea, South?",Premier of the Cabinet – Kim Jong-un,President – Taneti Mamau,President – Uhuru Kenyatta,Prime Minister – Lee Nak- yeon,Prime Minister – Lee Nak- yeon,dynamic,EASY
"What is the population of Korea, South",51260395,87675432,987546547,77452214,51260395,dynamic,EASY
What is the capital of Nepal?,"no official capital; government offices
in Yaren District",Kathmandu,Nay Pyi Taw,Maputo,Kathmandu,static,EASY
What is the currency of Nepal?,Nepalese rupee,Namibian dollar,Kyat,Metical,Nepalese rupee,static,EASY
What is the official language of Nepal?,English; Nauran,English; Afrikaans; German,Nepali,Portuguese,Nepali,static,EASY
Who is the head of government of Nepal?,President – Lionel Aingimea,Prime Minister – Saara Kuugongelwa,President– Win Myint,Prime Minister – KP Sharma Oli,Prime Minister – KP Sharma Oli,dynamic,EASY
What is the population of Nepal?,10810,2531290,54335948,29027347,29027347,dynamic,EASY
What is the capital of Netherlands?,"Amsterdam; The
Hague (seat of government)","no official capital; government offices
in Yaren District",Windhoek,Nay Pyi Taw,"Amsterdam; The
Hague (seat of government)",static,EASY
What is the currency of Netherlands?,Euro (formerly guilder),Australian dollar,Namibian dollar,Kyat,Euro (formerly guilder),static,EASY
What is the official language of Netherlands?,Nepali,English; Nauran,English; Afrikaans; German,Dutch,Dutch,static,EASY
Who is the head of government of Netherlands?,Prime Minister – KP Sharma Oli,Prime Minister – Mark Rutte,Prime Minister – Saara Kuugongelwa,President– Win Myint,Prime Minister – Mark Rutte,dynamic,EASY
What is the population of Netherlands?,17127290,10810,2531290,54335948,17127290,dynamic,EASY
What is the capital of New Zealand?,Wellington,Kathmandu,"no official capital; government offices
in Yaren District",Windhoek,Wellington,static,EASY
What is the currency of New Zealand?,Euro (formerly guilder),Nepalese rupee,New Zealand dollar,Namibian dollar,New Zealand dollar,static,EASY
What is the official language of New Zealand?,English,Nepali,English; Nauran,English; Afrikaans; German,English,static,EASY
Who is the head of government of New Zealand?,Prime Minister – Mark Rutte,Prime Minister – Jacinda,President – Lionel Aingimea,Prime Minister – Saara Kuugongelwa,Prime Minister – Jacinda,dynamic,EASY
What is the population of New Zealand?,284938,4814272,29027347,10810,4814272,dynamic,EASY
What is the capital of Pakistan?,Islamabad,Oslo,Abuja,Niamey,Islamabad,static,EASY
What is the currency of Pakistan?,Pakistani rupee,Norwegian krone,Naira,CFA Franc,Pakistani rupee,static,EASY
What is the official language of Pakistan?,Arabic,Norwegian,English,Urdu; English,Urdu; English,static,EASY
Who is the head of government of Pakistan?,"Sultan and Prime Minister
– Qaboos bin Said al Said",Prime Minister – Erna Solberg,Prime Minister– Sir Abubakar Tafawa Balewa,Prime Minister – Imran Khan,Prime Minister – Imran Khan,dynamic,EASY
What is the population of Pakistan?,5078933,5412632,219992900,2083391,219992900,dynamic,EASY
What is the capital of Russia?,Bucharest,Moscow,Doha,Lisbon,Moscow,static,EASY
What is the currency of Russia?,Romanian Rupee,CFA Franc,Ruble,Euro (formerly escudo),Ruble,static,EASY
What is the official language of Russia?,Romanian,Romanian,Arabic,Portuguese,Romanian,static,EASY
Who is the head of government of Russia?,Prime Minister – Viorica D?ncil?,Prime Minister – Dmitry Medvedev,"Prime Minister – Sheikh Abdullah bin Nasser bin
Khalifa Al Thani",Prime Minister – António Costa,Prime Minister – Dmitry Medvedev,dynamic,EASY
What is the population of Russia?,19262731,894017,2870922,145922010,145922010,dynamic,EASY
What is the capital of Saudi Arabia?,Riyadh,San Marino,Apia,Kingstown,Riyadh,static,EASY
What is the currency of Saudi Arabia?,Dobra,Euro,Riyal,East Caribbean dollar,Riyal,static,EASY
What is the official language of Saudi Arabia?,Arabic,Italian,"Samoan, English",English,Arabic,static,EASY
Who is the head of government of Saudi Arabia?,Prime Minister – Jorge Bom Jesus,Pasquale Valentini,Prime Minister – Tuilaepa Aiono Sailele Malielegaoi,King and Prime Minister – Salman of Saudi Arabia,King and Prime Minister – Salman of Saudi Arabia,dynamic,EASY
What is the population of Saudi Arabia?,218308,33917,198147,34701377,34701377,dynamic,EASY
What is the capital of United Arab Emirates?,Kiev,Kampala,"Vaiaku village, Funafuti province",Abu Dhabi,Abu Dhabi,static,EASY
What is the currency of United Arab Emirates?,Hryvnia,Ugandan new shilling,U.A.E. Dirham,Manat,U.A.E. Dirham,static,EASY
What is the official language of United Arab Emirates?,Ukrainian,"Swahili, English, Luganda",Arabic,Turkmen,Arabic,static,EASY
Who is the head of government of United Arab Emirates?,Prime Minister – Oleksiy Honcharuk,"Prime Minister – Sheikh Mohammed bin Rashid Al
Maktoum",Prime Minister – Kausea Natano,President – Gurbanguly Berdimuhamedow,"Prime Minister – Sheikh Mohammed bin Rashid Al
Maktoum",dynamic,EASY
What is the population of United Arab Emirates?,43785122,9865845,104456,11762,9865845,dynamic,EASY
What is the capital of United Kingdom?,Abu Dhabi,Kiev,Kampala,London,London,static,EASY
What is the currency of United Kingdom?,U.A.E. Dirham,Pound sterling,Ugandan new shilling,Tuvaluan Dollar,Pound sterling,static,EASY
What is the official language of United Kingdom?,Arabic,Ukrainian,"Swahili, English, Luganda",English,English,static,EASY
Who is the head of government of United Kingdom?,"Prime Minister – Sheikh Mohammed bin Rashid Al
Maktoum",Prime Minister – Oleksiy Honcharuk,Prime Minister – Ruhakana Rugunda,Prime Minister – Boris Johnson,Prime Minister – Boris Johnson,dynamic,EASY
What is the population of United Kingdom?,67814098,43785122,45427637,104456,67814098,dynamic,EASY
What is the capital of United States of America?,London,Washington D.C.,Kiev,Kampala,Washington D.C.,static,EASY
What is the currency of United States of America?,Pound sterling,Dollar,Hryvnia,Ugandan new shilling,Dollar,static,EASY
What is the official language of United States of America?,English,English,Ukrainian,"Swahili, English, Luganda",English,static,EASY
Who is the head of government of United States of America?,Prime Minister – Boris Johnson,"Prime Minister – Sheikh Mohammed bin Rashid Al
Maktoum",Prime Minister – Oleksiy Honcharuk,President – Donald Trump,President – Donald Trump,dynamic,EASY
What is the population of United States of America?,98173920,17829303,330610570,75342617,330610570,dynamic,EASY
