Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family,Meaning,Onset for first letter,,Onser for seconf letter
holiday,501,17101,feast,-1,3,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
holiday,501,20865,layoff,-1,3,3,None,"{'Noun': ['leisure time away from work devoted to rest or pleasure', 'a day on which work is suspended by law or custom'], 'Verb': ['spend or take a vacation']}",['holiday'],['holiday'],holiday
homework,34362,103,instruction,6,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],holiday
homework,34362,798,practice,4,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],holiday
homework,34362,1280,class,1,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],holiday
homework,34362,1714,task,4,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],holiday
homework,34362,1959,education,3,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],holiday
homework,34362,2272,study,1,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,2378,exercise,2,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,2445,quiz,2,2,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,2492,test,1,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,2508,period,3,2,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,3928,lecture,3,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,4325,reading,1,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,4338,assignment,3,2,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,4546,drill,-1,2,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,4566,recitation,-1,2,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,12544,coaching,4,2,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,36462,schooling,6,2,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,36463,teaching,3,1,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
homework,34362,37027,tutoring,-1,3,3,None,{'Noun': ['preparatory school work done outside school (especially at home']},['homework'],['homework'],homework
its,259,2843,particular,4,1,1,None,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']},['its'],['its'],homework
its,259,2944,peculiar,4,1,1,None,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']},['its'],['its'],homework
its,259,3410,individual,4,1,1,None,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']},['its'],['its'],homework
its,259,4466,resident,4,1,1,None,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']},['its'],['its'],homework
its,259,6798,inherent,6,1,1,None,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']},['its'],['its'],homework
its,259,7126,intrinsic,6,1,1,None,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']},['its'],['its'],its
its,259,8041,endemic,-1,1,1,None,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']},['its'],['its'],its
business,33950,43,game,1,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],its
business,33950,154,line,2,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],its
business,33950,491,bag,1,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],its
business,33950,1726,craft,4,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],its
business,33950,2443,field,2,1,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],its
business,33950,2533,dodge,-1,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,3501,function,4,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,3794,pursuit,4,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,4540,livelihood,-1,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,6289,employment,3,1,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,6636,racket,-1,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,7472,specialty,-1,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,14624,vocation,6,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,15458,biz,-1,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,31442,trade,3,1,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,31473,work,1,1,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,34862,career,3,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,35448,occupation,2,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
business,33950,36986,calling,-1,2,3,None,"{'Noun': ['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']}",['business'],['business'],business
cinema,4174,13316,bijou,-1,2,3,None,"{'Noun': ['a medium that disseminates moving pictures', 'a theater where films are shown']}",['cinema'],['cinema'],business
cinema,4174,19600,playhouse,-1,2,3,None,"{'Noun': ['a medium that disseminates moving pictures', 'a theater where films are shown']}",['cinema'],['cinema'],business
plane,475,529,flat,3,2,1,None,"{'Noun': ['an aircraft that has a fixed wing and is powered by propellers or jets', '(mathematics', 'a level of existence or development', 'a power tool for smoothing or shaping wood', ""a carpenter's hand tool with an adjustable blade for smoothing or shaping wood""], 'Verb': ['cut or remove with or as if with a plane', 'travel on the surface of water', ""make even or smooth, with or as with a carpenter's plane""], 'Adjective': ['having a surface without slope, tilt in which no part is higher or lower than another']}","['flane', 'plane', 'slane']","['flane', 'plane', 'slane', 'spane', 'stane']",business
plane,475,1158,uniform,2,2,1,None,"{'Noun': ['an aircraft that has a fixed wing and is powered by propellers or jets', '(mathematics', 'a level of existence or development', 'a power tool for smoothing or shaping wood', ""a carpenter's hand tool with an adjustable blade for smoothing or shaping wood""], 'Verb': ['cut or remove with or as if with a plane', 'travel on the surface of water', ""make even or smooth, with or as with a carpenter's plane""], 'Adjective': ['having a surface without slope, tilt in which no part is higher or lower than another']}","['flane', 'plane', 'slane']","['flane', 'plane', 'slane', 'spane', 'stane']",business
plane,475,1274,regular,3,2,1,None,"{'Noun': ['an aircraft that has a fixed wing and is powered by propellers or jets', '(mathematics', 'a level of existence or development', 'a power tool for smoothing or shaping wood', ""a carpenter's hand tool with an adjustable blade for smoothing or shaping wood""], 'Verb': ['cut or remove with or as if with a plane', 'travel on the surface of water', ""make even or smooth, with or as with a carpenter's plane""], 'Adjective': ['having a surface without slope, tilt in which no part is higher or lower than another']}","['flane', 'plane', 'slane']","['flane', 'plane', 'slane', 'spane', 'stane']",business
plane,475,4577,flush,-1,2,1,None,"{'Noun': ['an aircraft that has a fixed wing and is powered by propellers or jets', '(mathematics', 'a level of existence or development', 'a power tool for smoothing or shaping wood', ""a carpenter's hand tool with an adjustable blade for smoothing or shaping wood""], 'Verb': ['cut or remove with or as if with a plane', 'travel on the surface of water', ""make even or smooth, with or as with a carpenter's plane""], 'Adjective': ['having a surface without slope, tilt in which no part is higher or lower than another']}","['flane', 'plane', 'slane']","['flane', 'plane', 'slane', 'spane', 'stane']",cinema
plane,475,21972,plain,3,2,1,None,"{'Noun': ['an aircraft that has a fixed wing and is powered by propellers or jets', '(mathematics', 'a level of existence or development', 'a power tool for smoothing or shaping wood', ""a carpenter's hand tool with an adjustable blade for smoothing or shaping wood""], 'Verb': ['cut or remove with or as if with a plane', 'travel on the surface of water', ""make even or smooth, with or as with a carpenter's plane""], 'Adjective': ['having a surface without slope, tilt in which no part is higher or lower than another']}","['flane', 'plane', 'slane']","['flane', 'plane', 'slane', 'spane', 'stane']",cinema
plane,475,22686,smooth,3,2,1,None,"{'Noun': ['an aircraft that has a fixed wing and is powered by propellers or jets', '(mathematics', 'a level of existence or development', 'a power tool for smoothing or shaping wood', ""a carpenter's hand tool with an adjustable blade for smoothing or shaping wood""], 'Verb': ['cut or remove with or as if with a plane', 'travel on the surface of water', ""make even or smooth, with or as with a carpenter's plane""], 'Adjective': ['having a surface without slope, tilt in which no part is higher or lower than another']}","['flane', 'plane', 'slane']","['flane', 'plane', 'slane', 'spane', 'stane']",flane;plane;slane;spane;stane
actor,32400,357,star,1,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",flane;plane;slane;spane;stane
actor,32400,563,extra,2,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",flane;plane;slane;spane;stane
actor,32400,1088,character,3,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",flane;plane;slane;spane;stane
actor,32400,1433,mimic,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",flane;plane;slane;spane;stane
actor,32400,2383,player,1,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",flane;plane;slane;spane;stane
actor,32400,2735,artist,2,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,4102,villain,-1,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,4536,amateur,5,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,7239,idol,5,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,7839,clown,-1,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,7872,mime,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,10893,foil,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,12571,thespian,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,12618,entertainer,4,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,12667,stooge,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,14404,impersonator,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,20219,ventriloquist,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,24361,comedian,4,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,28070,understudy,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,31793,performer,3,1,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,31794,lead,4,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
actor,32400,31795,trouper,-1,2,2,None,"{'Noun': ['a theatrical performer', 'a person who acts and gets things done']}",['actor'],"['actor', 'astor']",actor;astor
yesterday,497,1334,recently,3,1,3,None,"{'Noun': ['the day immediately before today', 'the recent past'], 'Adverb': ['on the day preceding today', 'in the recent past; only a short time ago']}",['yesterday'],['yesterday'],actor;astor
yesterday,497,1762,past,2,2,3,None,"{'Noun': ['the day immediately before today', 'the recent past'], 'Adverb': ['on the day preceding today', 'in the recent past; only a short time ago']}",['yesterday'],['yesterday'],actor;astor
yesterday,497,11254,bygone,-1,2,3,None,"{'Noun': ['the day immediately before today', 'the recent past'], 'Adverb': ['on the day preceding today', 'in the recent past; only a short time ago']}",['yesterday'],['yesterday'],actor;astor
bank,2245,1429,fund,5,1,1,None,"{'Noun': ['sloping land (especially the slope beside a body of water', 'a financial institution that accepts deposits and channels the money into lending activities', 'a long ridge or pile', 'an arrangement of similar objects in a row or in tiers', 'a supply or stock held in reserve for future use (especially in emergencies', 'the funds held by a gambling house or the dealer in some gambling games', 'a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force', 'a container (usually with a slot in the top', 'a building in which the business of banking transacted', 'a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning'], 'Verb': ['tip laterally', 'enclose with a bank', 'do business with a bank or keep an account at a bank', 'act as the banker in a game or in gambling', 'be in the banking business', 'put into a bank account', 'cover with ashes so to control the rate of burning', 'have faith or confidence in']}","['bank', 'cank', 'dank', 'hank', 'jank', 'lank', 'mank', 'pank', 'rank', 'sank', 'tank', 'yank']",,actor;astor
bank,2245,1659,store,3,1,1,None,"{'Noun': ['sloping land (especially the slope beside a body of water', 'a financial institution that accepts deposits and channels the money into lending activities', 'a long ridge or pile', 'an arrangement of similar objects in a row or in tiers', 'a supply or stock held in reserve for future use (especially in emergencies', 'the funds held by a gambling house or the dealer in some gambling games', 'a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force', 'a container (usually with a slot in the top', 'a building in which the business of banking transacted', 'a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning'], 'Verb': ['tip laterally', 'enclose with a bank', 'do business with a bank or keep an account at a bank', 'act as the banker in a game or in gambling', 'be in the banking business', 'put into a bank account', 'cover with ashes so to control the rate of burning', 'have faith or confidence in']}","['bank', 'cank', 'dank', 'hank', 'jank', 'lank', 'mank', 'pank', 'rank', 'sank', 'tank', 'yank']",,actor;astor
bank,2245,1983,reserve,3,2,1,None,"{'Noun': ['sloping land (especially the slope beside a body of water', 'a financial institution that accepts deposits and channels the money into lending activities', 'a long ridge or pile', 'an arrangement of similar objects in a row or in tiers', 'a supply or stock held in reserve for future use (especially in emergencies', 'the funds held by a gambling house or the dealer in some gambling games', 'a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force', 'a container (usually with a slot in the top', 'a building in which the business of banking transacted', 'a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning'], 'Verb': ['tip laterally', 'enclose with a bank', 'do business with a bank or keep an account at a bank', 'act as the banker in a game or in gambling', 'be in the banking business', 'put into a bank account', 'cover with ashes so to control the rate of burning', 'have faith or confidence in']}","['bank', 'cank', 'dank', 'hank', 'jank', 'lank', 'mank', 'pank', 'rank', 'sank', 'tank', 'yank']",,yesterday
bank,2245,3416,stock,5,1,1,None,"{'Noun': ['sloping land (especially the slope beside a body of water', 'a financial institution that accepts deposits and channels the money into lending activities', 'a long ridge or pile', 'an arrangement of similar objects in a row or in tiers', 'a supply or stock held in reserve for future use (especially in emergencies', 'the funds held by a gambling house or the dealer in some gambling games', 'a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force', 'a container (usually with a slot in the top', 'a building in which the business of banking transacted', 'a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning'], 'Verb': ['tip laterally', 'enclose with a bank', 'do business with a bank or keep an account at a bank', 'act as the banker in a game or in gambling', 'be in the banking business', 'put into a bank account', 'cover with ashes so to control the rate of burning', 'have faith or confidence in']}","['bank', 'cank', 'dank', 'hank', 'jank', 'lank', 'mank', 'pank', 'rank', 'sank', 'tank', 'yank']",,yesterday
bank,2245,3525,storehouse,-1,2,1,None,"{'Noun': ['sloping land (especially the slope beside a body of water', 'a financial institution that accepts deposits and channels the money into lending activities', 'a long ridge or pile', 'an arrangement of similar objects in a row or in tiers', 'a supply or stock held in reserve for future use (especially in emergencies', 'the funds held by a gambling house or the dealer in some gambling games', 'a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force', 'a container (usually with a slot in the top', 'a building in which the business of banking transacted', 'a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning'], 'Verb': ['tip laterally', 'enclose with a bank', 'do business with a bank or keep an account at a bank', 'act as the banker in a game or in gambling', 'be in the banking business', 'put into a bank account', 'cover with ashes so to control the rate of burning', 'have faith or confidence in']}","['bank', 'cank', 'dank', 'hank', 'jank', 'lank', 'mank', 'pank', 'rank', 'sank', 'tank', 'yank']",,yesterday
bank,2245,4890,hoard,-1,2,1,None,"{'Noun': ['sloping land (especially the slope beside a body of water', 'a financial institution that accepts deposits and channels the money into lending activities', 'a long ridge or pile', 'an arrangement of similar objects in a row or in tiers', 'a supply or stock held in reserve for future use (especially in emergencies', 'the funds held by a gambling house or the dealer in some gambling games', 'a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force', 'a container (usually with a slot in the top', 'a building in which the business of banking transacted', 'a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning'], 'Verb': ['tip laterally', 'enclose with a bank', 'do business with a bank or keep an account at a bank', 'act as the banker in a game or in gambling', 'be in the banking business', 'put into a bank account', 'cover with ashes so to control the rate of burning', 'have faith or confidence in']}","['bank', 'cank', 'dank', 'hank', 'jank', 'lank', 'mank', 'pank', 'rank', 'sank', 'tank', 'yank']",,bank;cank;dank;hank;jank;lank;mank;pank;rank;sank;tank;yank;bink;dink;fink;gink;jink;kink;link;mink;pink;rink;sink;tink;wink;zink;bonk;conk;honk;monk;sonk;tonk;bunk;dunk;funk;gunk;hunk;junk;kunk;punk;sunk;tunk;penk;renk
bank,2245,8114,reservoir,-1,2,1,None,"{'Noun': ['sloping land (especially the slope beside a body of water', 'a financial institution that accepts deposits and channels the money into lending activities', 'a long ridge or pile', 'an arrangement of similar objects in a row or in tiers', 'a supply or stock held in reserve for future use (especially in emergencies', 'the funds held by a gambling house or the dealer in some gambling games', 'a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force', 'a container (usually with a slot in the top', 'a building in which the business of banking transacted', 'a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning'], 'Verb': ['tip laterally', 'enclose with a bank', 'do business with a bank or keep an account at a bank', 'act as the banker in a game or in gambling', 'be in the banking business', 'put into a bank account', 'cover with ashes so to control the rate of burning', 'have faith or confidence in']}","['bank', 'cank', 'dank', 'hank', 'jank', 'lank', 'mank', 'pank', 'rank', 'sank', 'tank', 'yank']",,bank;cank;dank;hank;jank;lank;mank;pank;rank;sank;tank;yank;bink;dink;fink;gink;jink;kink;link;mink;pink;rink;sink;tink;wink;zink;bonk;conk;honk;monk;sonk;tonk;bunk;dunk;funk;gunk;hunk;junk;kunk;punk;sunk;tunk;penk;renk
