user_id,response_id,quote_id,overall_score,other
18727,856,413,3,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""3"" >
<instance>success is no accident it is hard word perseverance learning studying sacrifice and most of all love of what you are doing</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">success</input>
<input mode=""speech"" intelligibility=""1"">is</input>
<input mode=""speech"" intelligibility=""3"">no</input>
<input mode=""speech"" intelligibility=""4"">accident</input>
<input mode=""speech"" intelligibility=""2"">it</input>
<input mode=""speech"" intelligibility=""5"">is</input>
<input mode=""speech"" intelligibility=""6"">hard</input>
<input mode=""speech"" intelligibility=""1"">word</input>
<input mode=""speech"" intelligibility=""2"">perseverance</input>
<input mode=""speech"" intelligibility=""2"">learning</input>
<input mode=""speech"" intelligibility=""3"">studying</input>
<input mode=""speech"" intelligibility=""4"">sacrifice</input>
<input mode=""speech"" intelligibility=""2"">and</input>
<input mode=""speech"" intelligibility=""6"">most</input>
<input mode=""speech"" intelligibility=""3"">of</input>
<input mode=""speech"" intelligibility=""3"">all</input>
<input mode=""speech"" intelligibility=""2"">love</input>
<input mode=""speech"" intelligibility=""4"">of</input>
<input mode=""speech"" intelligibility=""2"">what</input>
<input mode=""speech"" intelligibility=""5"">you</input>
<input mode=""speech"" intelligibility=""3"">are</input>
<input mode=""speech"" intelligibility=""3"">doing</input>
</inputs>
"
18798,714,257,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>everything that irritates us about others can lead us to an understanding of ourselves</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">everything</input>
<input mode=""speech"" intelligibility=""5"">that</input>
<input mode=""speech"" intelligibility=""1"">irritates</input>
<input mode=""speech"" intelligibility=""4"">us</input>
<input mode=""speech"" intelligibility=""2"">about</input>
<input mode=""speech"" intelligibility=""4"">others</input>
<input mode=""speech"" intelligibility=""3"">can</input>
<input mode=""speech"" intelligibility=""2"">lead</input>
<input mode=""speech"" intelligibility=""3"">us</input>
<input mode=""speech"" intelligibility=""3"">to</input>
<input mode=""speech"" intelligibility=""2"">an</input>
<input mode=""speech"" intelligibility=""4"">understanding</input>
<input mode=""speech"" intelligibility=""2"">of</input>
<input mode=""speech"" intelligibility=""1"">ourselves</input>
</inputs>
"
18412,1039,510,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>overcoming barriers to performance is how groups become teams</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">overcoming</input>
<input mode=""speech"" intelligibility=""1"">barriers</input>
<input mode=""speech"" intelligibility=""4"">to</input>
<input mode=""speech"" intelligibility=""2"">performance</input>
<input mode=""speech"" intelligibility=""1"">is</input>
<input mode=""speech"" intelligibility=""4"">how</input>
<input mode=""speech"" intelligibility=""2"">groups</input>
<input mode=""speech"" intelligibility=""2"">become</input>
<input mode=""speech"" intelligibility=""3"">teams</input>
</inputs>
"
3079,139,332,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>the more difficult the victory the greater the happiness in winning</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""2"">more</input>
<input mode=""speech"" intelligibility=""1"">difficult</input>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""4"">victory</input>
<input mode=""speech"" intelligibility=""4"">the</input>
<input mode=""speech"" intelligibility=""3"">greater</input>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""4"">happiness</input>
<input mode=""speech"" intelligibility=""4"">in</input>
<input mode=""speech"" intelligibility=""2"">winning</input>
</inputs>
"
427,112,192,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>you never fail until you stop trying</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">you</input>
<input mode=""speech"" intelligibility=""3"">never</input>
<input mode=""speech"" intelligibility=""1"">fail</input>
<input mode=""speech"" intelligibility=""1"">until</input>
<input mode=""speech"" intelligibility=""1"">you</input>
<input mode=""speech"" intelligibility=""2"">stop</input>
<input mode=""speech"" intelligibility=""2"">trying</input>
</input>
"
18538,894,166,1,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""1"" >
<instance>reading furnishes the mind only with materials of knowledge</instance>
<inputs>
<input mode=""speech"" intelligibility=""1"">reading</input>
<input mode=""speech"" intelligibility=""1"">furnishes</input>
<input mode=""speech"" intelligibility=""2"">the</input>
<input mode=""speech"" intelligibility=""3"">mind</input>
<input mode=""speech"" intelligibility=""2"">only</input>
<input mode=""speech"" intelligibility=""2"">with</input>
<input mode=""speech"" intelligibility=""1"">materials</input>
<input mode=""speech"" intelligibility=""1"">of</input>
<input mode=""speech"" intelligibility=""1"">knowledge</input>
</inputs>
"
18501,770,103,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>your teacher can open the door but you must enter by yourself</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">your</input>
<input mode=""speech"" intelligibility=""2"">teacher</input>
<input mode=""speech"" intelligibility=""2"">can</input>
<input mode=""speech"" intelligibility=""2"">open</input>
<input mode=""speech"" intelligibility=""1"">the</input>
<input mode=""speech"" intelligibility=""1"">door</input>
<input mode=""speech"" intelligibility=""2"">but</input>
<input mode=""speech"" intelligibility=""2"">you</input>
<input mode=""speech"" intelligibility=""5"">must</input>
<input mode=""speech"" intelligibility=""1"">enter</input>
<input mode=""speech"" intelligibility=""2"">by</input>
<input mode=""speech"" intelligibility=""1"">yourself</input>
</inputs>
"
15534,321,309,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>youre never a loser until you quit trying</instance>
<inputs>
<input mode=""speech"" intelligibility=""1"">youre</input>
<input mode=""speech"" intelligibility=""2"">never</input>
<input mode=""speech"" intelligibility=""2"">a</input>
<input mode=""speech"" intelligibility=""2"">loser</input>
<input mode=""speech"" intelligibility=""1"">until</input>
<input mode=""speech"" intelligibility=""2"">you</input>
<input mode=""speech"" intelligibility=""4"">quit</input>
<input mode=""speech"" intelligibility=""1"">trying</input>
</inputs>
"
20578,1057,397,3,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""3"" >
<instance>perfection is not attainable but if we chase perfection we can catch excellence</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">perfection</input>
<input mode=""speech"" intelligibility=""5"">is</input>
<input mode=""speech"" intelligibility=""3"">not</input>
<input mode=""speech"" intelligibility=""1"">attainable</input>
<input mode=""speech"" intelligibility=""4"">but</input>
<input mode=""speech"" intelligibility=""3"">if</input>
<input mode=""speech"" intelligibility=""2"">we</input>
<input mode=""speech"" intelligibility=""2"">chase</input>
<input mode=""speech"" intelligibility=""4"">perfection</input>
<input mode=""speech"" intelligibility=""2"">we</input>
<input mode=""speech"" intelligibility=""3"">can</input>
<input mode=""speech"" intelligibility=""3"">catch</input>
<input mode=""speech"" intelligibility=""3"">excellence</input>
</inputs>
"
8761,1206,175,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>we didnt even realize we were making memories we just knew we were having fun</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">we</input>
<input mode=""speech"" intelligibility=""1"">didnt</input>
<input mode=""speech"" intelligibility=""2"">even</input>
<input mode=""speech"" intelligibility=""1"">realize</input>
<input mode=""speech"" intelligibility=""1"">we</input>
<input mode=""speech"" intelligibility=""1"">were</input>
<input mode=""speech"" intelligibility=""2"">making</input>
<input mode=""speech"" intelligibility=""2"">memories</input>
<input mode=""speech"" intelligibility=""2"">we</input>
<input mode=""speech"" intelligibility=""3"">just</input>
<input mode=""speech"" intelligibility=""2"">knew</input>
<input mode=""speech"" intelligibility=""1"">we</input>
<input mode=""speech"" intelligibility=""1"">were</input>
<input mode=""speech"" intelligibility=""2"">having</input>
<input mode=""speech"" intelligibility=""2"">fun</input>
</inputs>
"
18346,915,44,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>if your actions inspire others to dream more learn more do more and become more you are a leader</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">if</input>
<input mode=""speech"" intelligibility=""2"">your</input>
<input mode=""speech"" intelligibility=""2"">actions</input>
<input mode=""speech"" intelligibility=""2"">inspire</input>
<input mode=""speech"" intelligibility=""2"">others</input>
<input mode=""speech"" intelligibility=""3"">to</input>
<input mode=""speech"" intelligibility=""4"">dream</input>
<input mode=""speech"" intelligibility=""2"">more</input>
<input mode=""speech"" intelligibility=""2"">learn</input>
<input mode=""speech"" intelligibility=""1"">more</input>
<input mode=""speech"" intelligibility=""3"">do</input>
<input mode=""speech"" intelligibility=""3"">more</input>
<input mode=""speech"" intelligibility=""2"">and</input>
<input mode=""speech"" intelligibility=""2"">become</input>
<input mode=""speech"" intelligibility=""4"">more</input>
<input mode=""speech"" intelligibility=""2"">you</input>
<input mode=""speech"" intelligibility=""1"">are</input>
<input mode=""speech"" intelligibility=""2"">a</input>
<input mode=""speech"" intelligibility=""1"">leader</input>
</inputs>
"
18538,667,194,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>we did not come to fear the future we came here to shape it</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">we</input>
<input mode=""speech"" intelligibility=""5"">did</input>
<input mode=""speech"" intelligibility=""5"">not</input>
<input mode=""speech"" intelligibility=""1"">come</input>
<input mode=""speech"" intelligibility=""2"">to</input>
<input mode=""speech"" intelligibility=""2"">fear</input>
<input mode=""speech"" intelligibility=""3"">the</input>
<input mode=""speech"" intelligibility=""1"">future</input>
<input mode=""speech"" intelligibility=""1"">we</input>
<input mode=""speech"" intelligibility=""1"">came</input>
<input mode=""speech"" intelligibility=""2"">here</input>
<input mode=""speech"" intelligibility=""1"">to</input>
<input mode=""speech"" intelligibility=""2"">shape</input>
<input mode=""speech"" intelligibility=""4"">it</input>
</inputs>
"
18310,426,347,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>its not whether you get knocked down its whether you get up</instance>
<inputs>
<input mode=""speech"" intelligibility=""3"">its</input>
<input mode=""speech"" intelligibility=""4"">not</input>
<input mode=""speech"" intelligibility=""1"">whether</input>
<input mode=""speech"" intelligibility=""2"">you</input>
<input mode=""speech"" intelligibility=""1"">get</input>
<input mode=""speech"" intelligibility=""2"">knocked</input>
<input mode=""speech"" intelligibility=""4"">down</input>
<input mode=""speech"" intelligibility=""3"">its</input>
<input mode=""speech"" intelligibility=""1"">whether</input>
<input mode=""speech"" intelligibility=""2"">you</input>
<input mode=""speech"" intelligibility=""3"">get</input>
<input mode=""speech"" intelligibility=""3"">up</input>
</inputs>
"
9435,91,261,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>find a group of people who challenge and inspire you spend a lot of time with them and it will change your life</instance>
<inputs>
<input mode=""speech"" intelligibility=""4"">find</input>
<input mode=""speech"" intelligibility=""2"">a</input>
<input mode=""speech"" intelligibility=""2"">group</input>
<input mode=""speech"" intelligibility=""3"">of</input>
<input mode=""speech"" intelligibility=""3"">people</input>
<input mode=""speech"" intelligibility=""2"">who</input>
<input mode=""speech"" intelligibility=""1"">challenge</input>
<input mode=""speech"" intelligibility=""1"">and</input>
<input mode=""speech"" intelligibility=""3"">inspire</input>
<input mode=""speech"" intelligibility=""1"">you</input>
<input mode=""speech"" intelligibility=""3"">spend</input>
<input mode=""speech"" intelligibility=""2"">a</input>
<input mode=""speech"" intelligibility=""4"">lot</input>
<input mode=""speech"" intelligibility=""2"">of</input>
<input mode=""speech"" intelligibility=""1"">time</input>
<input mode=""speech"" intelligibility=""1"">with</input>
<input mode=""speech"" intelligibility=""2"">them</input>
<input mode=""speech"" intelligibility=""3"">and</input>
<input mode=""speech"" intelligibility=""4"">it</input>
<input mode=""speech"" intelligibility=""1"">will</input>
<input mode=""speech"" intelligibility=""1"">change</input>
<input mode=""speech"" intelligibility=""2"">your</input>
<input mode=""speech"" intelligibility=""4"">life</input>
</input>
"
21204,1181,304,3,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""3"" >
<instance>a good head and a good heart are always a formidable combination</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">a</input>
<input mode=""speech"" intelligibility=""3"">good</input>
<input mode=""speech"" intelligibility=""5"">head</input>
<input mode=""speech"" intelligibility=""4"">and</input>
<input mode=""speech"" intelligibility=""3"">a</input>
<input mode=""speech"" intelligibility=""2"">good</input>
<input mode=""speech"" intelligibility=""2"">heart</input>
<input mode=""speech"" intelligibility=""1"">are</input>
<input mode=""speech"" intelligibility=""1"">always</input>
<input mode=""speech"" intelligibility=""3"">a</input>
<input mode=""speech"" intelligibility=""3"">formidable</input>
<input mode=""speech"" intelligibility=""5"">combination</input>
</inputs>
"
21132,1134,67,1,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""1"" >
<instance>failure is success if we learn from it</instance>
<inputs>
<input mode=""speech"" intelligibility=""1"">failure</input>
<input mode=""speech"" intelligibility=""1"">is</input>
<input mode=""speech"" intelligibility=""1"">success</input>
<input mode=""speech"" intelligibility=""2"">if</input>
<input mode=""speech"" intelligibility=""2"">we</input>
<input mode=""speech"" intelligibility=""2"">learn</input>
<input mode=""speech"" intelligibility=""2"">from</input>
<input mode=""speech"" intelligibility=""2"">it</input>
</inputs>
"
427,116,96,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>weak people revenge strong people forgive intelligent people ignore</instance>
<inputs>
<input mode=""speech"" intelligibility=""3"">weak</input>
<input mode=""speech"" intelligibility=""1"">people</input>
<input mode=""speech"" intelligibility=""2"">revenge</input>
<input mode=""speech"" intelligibility=""3"">strong</input>
<input mode=""speech"" intelligibility=""2"">people</input>
<input mode=""speech"" intelligibility=""1"">forgive</input>
<input mode=""speech"" intelligibility=""1"">intelligent</input>
<input mode=""speech"" intelligibility=""2"">people</input>
<input mode=""speech"" intelligibility=""2"">ignore</input>
</input>
"
18798,817,10,4,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""4"" >
<instance>it is not the strongest of the species that survive nor the most intelligent but the one most responsive to change</instance>
<inputs>
<input mode=""speech"" intelligibility=""5"">it</input>
<input mode=""speech"" intelligibility=""5"">is</input>
<input mode=""speech"" intelligibility=""4"">not</input>
<input mode=""speech"" intelligibility=""3"">the</input>
<input mode=""speech"" intelligibility=""6"">strongest</input>
<input mode=""speech"" intelligibility=""1"">of</input>
<input mode=""speech"" intelligibility=""3"">the</input>
<input mode=""speech"" intelligibility=""6"">species</input>
<input mode=""speech"" intelligibility=""6"">that</input>
<input mode=""speech"" intelligibility=""3"">survive</input>
<input mode=""speech"" intelligibility=""5"">nor</input>
<input mode=""speech"" intelligibility=""5"">the</input>
<input mode=""speech"" intelligibility=""6"">most</input>
<input mode=""speech"" intelligibility=""2"">intelligent</input>
<input mode=""speech"" intelligibility=""4"">but</input>
<input mode=""speech"" intelligibility=""3"">the</input>
<input mode=""speech"" intelligibility=""3"">one</input>
<input mode=""speech"" intelligibility=""6"">most</input>
<input mode=""speech"" intelligibility=""3"">responsive</input>
<input mode=""speech"" intelligibility=""3"">to</input>
<input mode=""speech"" intelligibility=""4"">change</input>
</inputs>
"
18397,1116,391,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>gold medals arent really made of gold they are made of sweat determination and a hardtofind alloy called guts</instance>
<inputs>
<input mode=""speech"" intelligibility=""1"">gold</input>
<input mode=""speech"" intelligibility=""1"">medals</input>
<input mode=""speech"" intelligibility=""1"">arent</input>
<input mode=""speech"" intelligibility=""1"">really</input>
<input mode=""speech"" intelligibility=""2"">made</input>
<input mode=""speech"" intelligibility=""2"">of</input>
<input mode=""speech"" intelligibility=""2"">gold</input>
<input mode=""speech"" intelligibility=""2"">they</input>
<input mode=""speech"" intelligibility=""2"">are</input>
<input mode=""speech"" intelligibility=""3"">made</input>
<input mode=""speech"" intelligibility=""2"">of</input>
<input mode=""speech"" intelligibility=""2"">sweat</input>
<input mode=""speech"" intelligibility=""2"">determination</input>
<input mode=""speech"" intelligibility=""2"">and</input>
<input mode=""speech"" intelligibility=""1"">a</input>
<input mode=""speech"" intelligibility=""2"">hardtofind</input>
<input mode=""speech"" intelligibility=""2"">alloy</input>
<input mode=""speech"" intelligibility=""1"">called</input>
<input mode=""speech"" intelligibility=""4"">guts</input>
</inputs>
"
6049,224,194,2,"<? xml version = ""1.0"" encoding = ""UTF-8"" ?>
 <interpretation grammar="".SENTENCE"" intelligibility=""2"" >
<instance>we did not come to fear the future we came here to shape it</instance>
<inputs>
<input mode=""speech"" intelligibility=""2"">we</input>
<input mode=""speech"" intelligibility=""2"">did</input>
<input mode=""speech"" intelligibility=""5"">not</input>
<input mode=""speech"" intelligibility=""3"">come</input>
<input mode=""speech"" intelligibility=""2"">to</input>
<input mode=""speech"" intelligibility=""1"">fear</input>
<input mode=""speech"" intelligibility=""4"">the</input>
<input mode=""speech"" intelligibility=""2"">future</input>
<input mode=""speech"" intelligibility=""1"">we</input>
<input mode=""speech"" intelligibility=""2"">came</input>
<input mode=""speech"" intelligibility=""1"">here</input>
<input mode=""speech"" intelligibility=""2"">to</input>
<input mode=""speech"" intelligibility=""4"">shape</input>
<input mode=""speech"" intelligibility=""3"">it</input>
</inputs>
"
