word,word_meaning,cefr_rating
maximize,Some airlines have cancelled less popular routes in an effort to maximize profits.,6
subtle,The room was painted a subtle shade of pink.,6
paradoxical,"It seems paradoxical to me, but if you drink a cup of hot tea it seems to cool you down.",6
schooling,Jack didn't receive much formal schooling.,6
undertaking,The construction of the tunnel is a large and complex undertaking.,6
pat,He patted my head/patted me on the head affectionately.,6
modeled,The educational system was a model for those of many other countries.,6
logically,Her ideas were clear and logically presented.,6
vain,The doctors gave him more powerful drugs in the vain hope that he might recover.,6
conscience,a guilty conscience,6
indirect,The benefits from pure research are often indirect.,6
specimen,He has a collection of rare insect specimens.,6
impulsive,Don't be so impulsive - think before you act.,6
analogous,The experience of mystic trance is in a sense analogous to sleep or drunkenness.,6
sceptical,Many experts remain sceptical about/of his claims.,6
on impulse,"I had this sudden impulse to shout out ""Nonsense!"" in the middle of her speech.",6
treaty,a peace treaty,6
unavoidably,"Due to adverse weather conditions, the trains were unavoidably delayed.",6
glue,a blob of glue,6
awe,I've always held musicians in awe.,6
craziness,A moment's craziness had lost him his wife and his job.,6
tire,"She's been leading throughout the race, but it now looks as if she's tiring.",6
elimination,the elimination of disease/pain,6
consecutive,This is the fifth consecutive weekend that I’ve spent working.,6
observant,"""That's a new dress, isn't it?"" ""Yes, you are observant!""",6
recognition,"It's a new country, hoping for diplomatic recognition from the international community.",6
legitimate,The army must give power back to the legitimate government.,6
eradicate,The government claims to be doing all it can to eradicate corruption.,6
toleration,This period in history is not noted for its religious tolerance.,6
crave,Many young children crave attention.,6
touch and go,The doctor says that it's touch-and-go whether Mary will be okay.,6
down and out,a down-and-out loser,6
confine,"Let's confine our discussion to the matter in question, please!",6
fury,He could hardly contain his fury.,6
immature,"Stop being so silly and immature, Chris!",6
craving,I have a craving for chocolate.,6
toss,He glanced at the letter and then tossed it into the bin.,6
masterpiece,"Leonardo’s ""Last Supper"" is widely regarded as a masterpiece.",6
scrap,They're considering scrapping the tax and raising the money in other ways.,6
self-assured,The interview showed her as a self-assured and mature student.,6
confined,"Let's confine our discussion to the matter in question, please!",6
relentlessly,She has campaigned relentlessly for her husband's release from prison.,6
stubbornness,His colleagues find his stubbornness difficult to deal with.,6
merger,She's an attorney who advises companies about mergers and takeovers.,6
wretched,a wretched childhood,6
medically,The doctor declared her medically fit.,6
analogy,He drew an analogy between the brain and a vast computer.,6
running,You've been late three days running.,6
pastime,Do-it-yourself is the nation's most popular pastime.,6
snobbishness,He's a terrible snob - if you haven't been to the right school he probably won't even speak to you.,6
coral,a coral bracelet/necklace,6
frantic,Where on earth have you been? We've been frantic with worry.,6
yearn,Despite his great commercial success he still yearns for critical approval.,6
clichéd,He made some clichéd remark.,6
cynical,She has a pretty cynical view of men.,6
strand,She tucked a loose strand of hair behind her ears.,6
sentimental,Why be sentimental about that old coat? There’s no point in keeping it just because you were wearing it when you first met me.,6
tail end,I only saw the tail end of the news.,6
poetic,a collection of Dryden’s poetical works (= poems),6
merciful,"""God is merciful,"" said the priest.",6
subtle,The room was painted a subtle shade of pink.,6
disrespectful,disrespectful behaviour,6
indisputable,an artist of indisputable skill,6
merciless,There are reports of merciless attacks on innocent civilians.,6
fearful,"He hesitated before calling her, fearful of what she might say.",6
ironic,"It is ironic that although many items are now cheaper to make, fewer people can afford to buy them.",6
official,He visited China in his official capacity as America's trade representative.,6
impatience,"""I've shown you how to do this before,"" she said, unable to disguise her impatience.",6
maximize,Some airlines have cancelled less popular routes in an effort to maximize profits.,6
empirical,This theory needs to be backed up with solid empirical data/evidence.,6
insofar as,"She had done her best to comfort him, insofar as she was able.",6
possessions,The possession of large amounts of money does not ensure happiness.,6
being,A nuclear war would kill millions of living beings.,6
petty,Prisoners complain that they are subjected to too many petty rules and restrictions.,6
radical,He was known as a radical reformer/thinker/politician.,6
prime the pump,This is a prime example of 1930s architecture.,6
pitch-dark,"a moonless, pitch-black night",6
revolt,The people revolted against foreign rule and established their own government.,6
resiliency,Trauma researchers emphasize the resilience of the human psyche.,6
intensely,"His strongest criticism is reserved for his father, whom he disliked intensely.",6
advocate,[ + -ing verb ] She advocates taking a more long-term view.,6
hollow,a hollow tube,6
revival,"Recently, there has been some revival of (interest in) ancient music.",6
turmoil,The whole region is in turmoil.,6
verbal,a verbal agreement/description/explanation,6
elaborate,You want a plain blouse to go with that skirt - nothing too elaborate.,6
coldness,It was the coldness of her manner that struck me.,6
profoundly,Society has changed so profoundly over the last 50 years.,6
touch-and-go,The doctor says that it's touch-and-go whether Mary will be okay.,6
strenuous,He rarely does anything more strenuous than changing the channels on the television.,6
inferiority,His ill treatment as a child had given him a strong sense of inferiority.,6
ordeal,The hostages' ordeal came to an end when soldiers stormed the building.,6
chapel,The college/hospital/prison has its own chapel.,6
indispensable,This book is an indispensable resource for researchers.,6
peek,Close your eyes. Don't peek. I've got a surprise for you.,6
realm,Her interests are in the realm of practical politics.,6
plump,a nice plump chicken,6
unattainable,an unattainable ideal,6
superficial,"He's fun to be with, but he's very superficial.",6
sit in on,to show good/sound/poor judgment,6
intrude,"I didn't realize your husband was here, Dr Jones - I hope I'm not intruding.",6
denial,The CEO issued a denial of the report that she is about to resign.,6
ruthless,ruthless ambition,6
imperative,[ + that ] The president said it was imperative that the release of all hostages be secured.,6
versatile,He's a very versatile young actor who's as happy in highbrow dramas as he is in TV comedies.,6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
tact,He's never had much tact and people don't like his blunt manner.,6
acres,He's got 400 acres of land in Russia.,6
kidneys,kidney failure,6
starvation,20 million people face starvation unless a vast emergency aid programme is launched.,6
drought,This year (a) severe drought has ruined the crops.,6
scarcely,I was scarcely able to move my arm after the accident.,6
catastrophe,They were warned of the ecological catastrophe to come.,6
mainstream,This is the director's first mainstream Hollywood film.,6
clash,Students clashed with police after demonstrations at five universities.,6
interval,We see each other at regular intervals - usually about once a month.,6
disturbing,"The article described the latest crime figures as ""disturbing"".",6
paradox,[ + that ],6
momentum,"Once you push it, it keeps going under its own momentum.",6
reproduction,human/sexual reproduction,6
indisputable,an artist of indisputable skill,6
overboard,Someone had fallen overboard.,6
turbulent,a turbulent marriage,6
eradicate,The government claims to be doing all it can to eradicate corruption.,6
maximize,Some airlines have cancelled less popular routes in an effort to maximize profits.,6
radical,He was known as a radical reformer/thinker/politician.,6
odds and ends,"I took most of the big things to the new house, but there are a few odds and ends left to pick up.",6
sneak,I managed to sneak in through the back door while she wasn't looking.,6
inherit,Who will inherit the house when he dies?,6
tactful,Mentioning his baldness wasn't very tactful.,6
reliance,The region's reliance on tourism is unwise.,6
motion,The violent motion of the ship upset his stomach.,6
reunion,We’re having a family reunion next week.,6
hostility,They showed open (= obvious) hostility to/towards their new neighbours.,6
take the plunge,We ran down to the beach and plunged into the sea.,6
flashback,The novel began with a flashback to the hero's experiences in the war.,6
resoluteness,to approve/adopt a resolution,6
attributing,Organizational ability is an essential attribute for a good manager.,6
coincide,I timed my holiday to coincide with the children's.,6
rigid,a rigid steel and concrete structure,6
constraint,The constraints of politeness wouldn't allow her to say what she really thought about his cooking.,6
naval,a naval officer,6
individuality,It's a competent essay but it lacks individuality.,6
ethic,the (Protestant) work ethic,6
wholly,I wasn't wholly convinced by her explanation.,6
in the interim,an interim solution,6
tread,I kept treading on his toes when we were dancing.,6
give-and-take,In every friendship there has to be some give and take.,6
fragrant,fragrant flowers,6
condemn,The terrorist action has been condemned as an act of barbarism and cowardice.,6
deterrent,a nuclear deterrent,6
consecutive,This is the fifth consecutive weekend that I’ve spent working.,6
tenant,"For years, they were tenants on my father’s property.",6
upper hand,"After hours of fierce negotiations, the president gained/got/had the upper hand.",6
tribal,tribal dress/leaders,6
long-lasting,a long-lasting friendship,6
ironical,[ + that ],6
disloyal,His sisters thought that his autobiography was disloyal to the family.,6
stunned,They stood in stunned silence beside the bodies.,6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
disqualify,Two top athletes have been disqualified from the championship after positive drug tests.,6
would-be,a would-be artist/politician,6
clumsiness,"With her usual clumsiness, she had opened her mouth and upset everyone.",6
clarity,There has been a call for greater clarity in this area of the law.,6
skeptical,Many experts remain skeptical about/of his claims.,6
consecutive,This is the fifth consecutive weekend that I’ve spent working.,6
ironic,"[ + that ] It is ironic that although many items are now cheaper to make, fewer people can afford to buy them.",6
flawed,"Diamonds are still valuable, even when they are flawed.",6
initiate,Who initiated the violence?,6
scraps,They're considering scrapping the tax and raising the money in other ways.,6
residence,the Governor's official residence,6
vow,[ + (that) ] The guerrillas vowed (that) they would overthrow the government.,6
crush,The package had been badly crushed in the post.,6
anonymous,The money was donated by an anonymous benefactor.,6
famine,Another crop failure could result in widespread famine.,6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
outline,She drew the outline of the boat and then coloured it in.,6
leaping,He leaped out of his car and ran towards the house.,6
spouse,In 60 percent of the households surveyed both spouses went out to work.,6
dumps,He came in with four shopping bags and dumped them on the table.,6
fast track,He is on the fast track to success.,6
catastrophe,They were warned of the ecological catastrophe to come.,6
forgiveness,to ask for/beg forgiveness,6
treading,I kept treading on his toes when we were dancing.,6
rivalry,There's such rivalry among/between my three sons.,6
originate,"Although the technology originated in the UK, it has been developed in the US",6
wield,She was confronted by a man wielding a knife.,6
resilience,Trauma researchers emphasize the resilience of the human psyche.,6
diarrhoea,diarrhoea and sickness,6
injection,Daily insulin injections are necessary for some diabetics.,6
toughness,The toughness of the cast iron furnaces is remarkable.,6
heaps,"Let Sarah pay for dinner, she's got heaps of money.",6
filter in,They decided to merge the two companies into one.,6
dialect,a regional dialect,6
vaccination,All the children were given two vaccinations against measles.,6
down the drain,Drain the pasta thoroughly.,6
vicinity,There are several hotels in the immediate vicinity of the station.,6
maximize,Some airlines have cancelled less popular routes in an effort to maximize profits.,6
in alliance,a military alliance,6
ambiguous,His reply to my question was somewhat ambiguous.,6
phenomenal,Her rise to fame was quite phenomenal - in less than two years she was a household name.,6
elated,The prince was reported to be elated at/by the birth of his daughter.,6
trial-and-error,There's no instant way of finding a cure - it's just a process of trial and error.,6
reign,Queen Victoria reigned over Britain from 1837 to 1901.,6
feat,The Eiffel Tower is a remarkable feat of engineering.,6
hostilities,They showed open (= obvious) hostility to/towards their new neighbours.,6
outset,I told him at/from the outset I wasn't interested.,6
blister,New shoes always give me blisters.,6
represent,They chose a famous barrister to represent them in court.,6
retention,Two influential senators have argued for the retention of the unpopular tax.,6
infinite,an infinite number/variety,6
complexion,a dark/fair complexion,6
elaborate,You want a plain blouse to go with that skirt - nothing too elaborate.,6
optimism,There was a note of optimism in his voice as he spoke about the company's future.,6
unwind,"In a nearby medical tent, a US Army doctor gently unwinds Metruk’s bandage.",6
self-control,It took incredible self-control not to cry out with pain.,6
elaborate,You want a plain blouse to go with that skirt - nothing too elaborate.,6
downhill,It's so much easier running downhill!,6
sideways,The fence is leaning sideways.,6
insofar as,"She had done her best to comfort him, insofar as she was able.",6
inhabited,These remote islands are inhabited only by birds.,6
ambiguous,His reply to my question was somewhat ambiguous.,6
voters,"Of course, tax cuts are usually popular with (the) voters.",6
mighty,In the next game they will face the mighty Patriots.,6
pitch dark,"a moonless, pitch-black night",6
assemble,We assembled in the meeting room after lunch.,6
arouse,It’s a subject that has aroused a lot of interest.,6
stance,The doctor's stance on the issue of abortion is well known.,6
withstanding,a bridge designed to withstand earthquakes,6
wreck,The explosion shattered nearby windows and wrecked two cars.,6
tender,a tender look/smile,6
analogy,He drew an analogy between the brain and a vast computer.,6
radical,He was known as a radical reformer/thinker/politician.,6
whereby,They've set up a plan whereby you can spread the cost over a two-year period.,6
whereabouts,"Trupin is thought to be in the Caribbean, although his exact whereabouts are/is a mystery.",6
stranded,He left me stranded in town with no car and no money for a bus.,6
descendants,He has no descendants.,6
siblings,I have four siblings: three brothers and a sister.,6
nerve,the optic nerve,6
irritation,That kind of behaviour is sure to cause irritation.,6
take possession of,The possession of large amounts of money does not ensure happiness.,6
dread,He's dreading the exam - he's sure he's going to fail.,6
chronic,chronic diseases/conditions,6
overhear,I overheard a very funny conversation on the bus this morning.,6
relish,I always relish a challenge.,6
sustain,The economy looks set to sustain its growth into next year.,6
verdict,The jury reached/returned a unanimous verdict of (not) guilty.,6
unwise,We made several unwise investments and lost quite a bit of money.,6
metaphor,"""The mind is an ocean"" and ""the city is a jungle"" are both metaphors.",6
ironically,"Ironically, his ability as an inventor made him a poor administrator, and he had one business failure after another.",6
imprisonment,She was sentenced to five years’ imprisonment.,6
take possession,The possession of large amounts of money does not ensure happiness.,6
linger,"After the play had finished, we lingered for a while in the bar hoping to catch sight of the actors.",6
contraception,They offer impartial advice on contraception.,6
red tape,We must cut through the red tape.,6
ironic,"It is ironic that although many items are now cheaper to make, fewer people can afford to buy them.",6
trial and error,There's no instant way of finding a cure - it's just a process of trial and error.,6
animated,There was an extremely animated discussion on the subject.,6
in vain,The doctors gave him more powerful drugs in the vain hope that he might recover.,6
abusive,an abusive letter/phone call,6
poetical,a collection of Dryden's poetical works (= poems),6
attributes,Organizational ability is an essential attribute for a good manager.,6
traits,His sense of humour is one of his better traits.,6
cynical,She has a pretty cynical view of men.,6
hopelessly,They met at university and fell hopelessly in love.,6
vitality,"According to the packet, these vitamin pills will restore lost vitality.",6
desired,His words had the desired effect.,6
irresistible,an irresistible offer,6
oddly,Didn't you think she was behaving very oddly at the party yesterday?,6
putting off,"He's slightly aggressive, which a lot of people find off-putting when they first meet him.",6
confront,"As she left the court, she was confronted by angry crowds who tried to block her way.",6
animated,There was an extremely animated discussion on the subject.,6
tip the scales at,"The table tipped, and all our drinks fell on the floor.",6
longevity,To what do you attribute your longevity?,6
pragmatic,"In business, the pragmatic approach to problems is often more successful than an idealistic one.",6
in future,"Torn apart by war, its economy virtually destroyed, this country now faces a very uncertain future.",6
ignorance,Public ignorance about the disease is still a cause for concern.,6
explosive,Certain gases are highly explosive.,6
refrain,We refrained from talking until we knew that it was safe.,6
harshly,Violators are being dealt with harshly.,6
margin,The Senate approved the use of military force by a margin of 52 votes to 47.,6
upholding,As a police officer you are expected to uphold the law whether you agree with it or not.,6
symbolical,The skull at the bottom of the picture is symbolic of death.,6
sore point,Don't ask him about the job search - it's a bit of a sore point.,6
unconsciously,He may be unconsciously looking for a mother figure.,6
eventful,Her time at college was the most eventful period of her life.,6
bind,They bound the packages with brightly coloured ribbon.,6
pathetic,"The refugees were a pathetic sight - starving, frightened and cold.",6
dispute,a bitter/long-running dispute,6
realistically,"Realistically speaking, he hadn’t a hope, but that didn’t stop him trying.",6
by virtue of,Patience is a virtue.,6
continental,Geologists map past and future continental drift.,6
shrug,"""Where's Dad?"" ""How should I know?"" replied my brother, shrugging.",6
compliment,He complained that his husband never paid him any compliments anymore.,6
irresistible,an irresistible offer,6
officials,He visited China in his official capacity as America's trade representative.,6
reckless,He was found guilty of reckless driving.,6
glue,a blob of glue,6
take up residence,the Governor's official residence,6
normalcy,"Now that the civil war is over, relative normality has returned to the south of the country.",6
snob,He's a terrible snob - if you haven't been to the right school he probably won't even speak to you.,6
flawless,a flawless complexion,6
vicious,a vicious thug,6
brink,Extreme stress had driven him to the brink of a nervous breakdown.,6
thriving,a thriving economy,6
experimental,The drug is still at the experimental stage (= is still being tested).,6
anonymous,The money was donated by an anonymous benefactor.,6
elaborate,You want a plain blouse to go with that skirt - nothing too elaborate.,6
trio,"There was disappointment for the trio of 200 metre runners, all of whom failed to reach the final.",6
plight troth,the plight of the poor/homeless,6
unscrupulously,an unscrupulous financial adviser,6
tanked,a water tank,6
ambiguity,We wish to remove any ambiguity concerning our demands.,6
intervene,The Central Bank intervened in the currency markets today to try to stabilize the exchange rate.,6
hold in contempt,At school she had complete contempt for all her teachers.,6
crumble,She nervously crumbled the bread between her fingers.,6
disloyal,His sisters thought that his autobiography was disloyal to the family.,6
resolution,to approve/adopt a resolution,6
animated,There was an extremely animated discussion on the subject.,6
torrential,torrential rain,6
wind down,"In a nearby medical tent, a US Army doctor gently unwinds Metruk's bandage.",6
impact,The impact of the crash reduced the car to a third of its original length.,6
opening,The children crawled through an opening in the fence.,6
legitimate,The army must give power back to the legitimate government.,6
disqualify,Two top athletes have been disqualified from the championship after positive drug tests.,6
conclusions,Be careful not to introduce new ideas in the conclusion of your essay.,6
measurements,The test is based on the measurement of blood levels.,6
quaint,a quaint old cottage,6
of the essence,The essence of his argument was that education should continue throughout life.,6
maximize,Some airlines have cancelled less popular routes in an effort to maximize profits.,6
eradicate,The government claims to be doing all it can to eradicate corruption.,6
convictions,"Since it was her first conviction for stealing, she was given a less severe sentence.",6
sue,He was so furious about the accusations in the letter that he threatened to sue.,6
stimulus,Foreign investment has been a stimulus to the industry.,6
sibling,I have four siblings: three brothers and a sister.,6
rot,The fruit had been left to rot on the trees.,6
faraway,They travelled to faraway lands/places.,6
uphold,As a police officer you are expected to uphold the law whether you agree with it or not.,6
legitimate,The army must give power back to the legitimate government.,6
modeling,The educational system was a model for those of many other countries.,6
cliche,My wedding day - and I know it's a cliché - was just the happiest day of my life.,6
groan,We could hear the groans of the wounded soldiers.,6
arid,The desert is so arid that nothing can grow there.,6
chronic,chronic diseases/conditions,6
presence of mind,"When the gunmen came into the bank, she had the presence of mind to press the alarm.",6
timber,a timber forest,6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
allegedly,That's where he allegedly killed his wife.,6
dazzling,a dazzling white light,6
supplements,The doctor said she should be taking vitamin supplements.,6
concede,[ + (that) ] The government has conceded (that) the new tax policy has been a disaster.,6
chronic,chronic diseases/conditions,6
bound-up,The survival of whales is intimately bound up with the health of the ocean.,6
in dispute,a bitter/long-running dispute,6
self-sufficient,The programme aims to make the country self-sufficient in food production and to cut energy imports.,6
free hand,The company's given me a free hand to negotiate a deal.,6
explosives,Certain gases are highly explosive.,6
missiles,a missile launcher,6
obsessive,He's obsessive about punctuality.,6
put pressure on,He put too much pressure on the door handle and it snapped.,6
extremist,a group of extremists (= people with extreme opinions),6
self-reliant,Single parents have to be self-reliant and inventive.,6
burial,We went back to Ireland for my uncle's burial.,6
subtle,The room was painted a subtle shade of pink.,6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
nest egg,Regular investment of small amounts of money is an excellent way of building a nest egg.,6
portray,The painting portrays a beautiful young woman in a blue dress.,6
stumble,"Running along the beach, she stumbled on a log and fell on the sand.",6
shade,"The sun was hot, and there were no trees to offer us shade.",6
off-putting,"He's slightly aggressive, which a lot of people find off-putting when they first meet him.",6
be inclined to think,Tom is inclined to be lazy.,6
analogy,He drew an analogy between the brain and a vast computer.,6
constitutional,Such a policy would not be constitutional.,6
fluctuate,Vegetable prices fluctuate according to the season.,6
doom,A sense of doom hung over the entire country.,6
gasp,When she saw the money hidden in the box she gasped in surprise.,6
questionable,It is questionable whether this goal can be achieved.,6
slaughter,Hardly anyone in the town escaped the slaughter when the rebels were defeated.,6
vulnerable,"I felt very vulnerable, standing there without any clothes on.",6
proverb,"The appetite, says the proverb, grows with eating.",6
combat,There was fierce combat between the two sides.,6
conversion,Solar power is the conversion of the sun’s energy into heat and electricity.,6
redistribute,As president he would redistribute the country’s wealth.,6
province,the Canadian province of Alberta,6
deception,He was found guilty of obtaining money by deception.,6
lump,a lump of coal,6
foremost,This is one of the country's foremost arts centres.,6
flourish,My tomatoes are flourishing this summer - it must be the warm weather.,6
resourceful,She's a very resourceful manager.,6
spur,Rising consumer sales have the effect of spurring the economy to faster growth.,6
circuit,They first met each other on the tennis circuit (= while at different tennis competitions).,6
wary,I'm a little wary of/about giving people my address when I don't know them very well.,6
humble,He’s very humble about his success.,6
defy,It is rare to see children openly defying their teachers.,6
narrative,It's a moving narrative of wartime adventure.,6
pioneer,one of the pioneers of modern science,6
infectious,an infectious disease,6
classical,"Do you prefer classical music like Mozart and Mahler, or pop?",6
stain,Tomato sauce stains terribly - it's really difficult to get it out of clothes.,6
contempt,At school she had complete contempt for all her teachers.,6
normality,"Now that the civil war is over, relative normality has returned to the south of the country.",6
ally,The US is one of Britain's staunchest allies.,6
formidable,a formidable obstacle/task,6
embarrass,You're embarrassing him with your compliments!,6
mercy,She appealed to the judge to have mercy on her husband.,6
revive,to revive someone's hopes/confidence/fortunes,6
disturbed,a centre for emotionally/mentally disturbed teenagers,6
murmur,"[ + speech ] ""I love you,"" she murmured.",6
dignified,"a tall, dignified woman",6
corner,"They live in a remote corner of Scotland, miles from the nearest store.",6
contemplate,[ + -ing verb ],6
indifferent,Why don't you vote - how can you be so indifferent (to what is going on)?,6
trilogy,He also offers extensive notes full of suggestive reflections and ends the volume with an essay on his sources for the full trilogy.,6
glow,A nightlight glowed dimly in the corner of the children's bedroom.,6
inexplicable,"For some inexplicable reason, he's decided to cancel the project.",6
unconditional,the unconditional love that parents feel for their children,6
wrinkled,a wrinkled face,6
racialist,Two of the killers are known to be racists.,6
hold in,At school she had complete contempt for all her teachers.,6
irresistible,an irresistible offer,6
precedent,There are several precedents for promoting people who don’t have formal qualifications.,6
reportedly,New York is reportedly a very exciting place to live.,6
lawsuit,Two of the directors filed a lawsuit against their former employer.,6
fearless,a fearless fighter,6
procession,a wedding/funeral procession,6
imply,[ + (that) ],6
mount,The children's excitement is mounting as Christmas gets nearer.,6
disgust,She walked out in disgust.,6
consistent,There has been a consistent improvement in her attitude.,6
spending,government spending on health,6
withdrawn,"Following her son's death, she became quiet and withdrawn and rarely went out.",6
dazed,You're looking rather dazed - is something wrong?,6
negligence,medical negligence,6
pressure,He put too much pressure on the door handle and it snapped.,6
pit,They'd dug a shallow pit and left the bodies in it.,6
anonymous,The money was donated by an anonymous benefactor.,6
subtle,The room was painted a subtle shade of pink.,6
detrimental,These chemicals have a detrimental effect/impact on the environment.,6
uphill,an uphill climb,6
clutch,"Silent and pale, she clutched (onto) her mother's hand.",6
neck,This sweater's too tight in the neck.,6
